1,홍길동,64,70,94,228,76,1.0
2,유관순,89,74,62,225,75,1.0
3,이순신,69,91,76,236,78.6666666667,1.0
4,강감찬,59,87,89,235,78.3333333333,1.0
5,김구,82,67,73,222,74,1.0
6,김유신,54,51,86,191,63.6666666667,1.0
7,홍길자,90,100,89,279,93,1.0
8,홍길순,95,84,52,231,77,1.0
9,eroad8,56,96,85,237,79,1.0
10,thofton9,86,87,74,247,82.3333333333,1.0
11,remlena,89,98,61,248,82.6666666667,1.0
12,krandalsonb,74,60,86,220,73.3333333333,1.0
13,jwindrassc,83,88,95,266,88.6666666667,1.0
14,awillimottd,64,67,88,219,73,1.0
15,vtillertone,55,67,60,182,60.6666666667,1.0
16,mtitteringtonf,73,54,91,218,72.6666666667,1.0
17,kickeg,72,75,63,210,70,1.0
18,ssheryneh,98,56,76,230,76.6666666667,1.0
19,hveaseyi,99,88,82,269,89.6666666667,1.0
20,alibreyj,63,94,67,224,74.6666666667,1.0
